h,L^2,H^1
0.176776695296637,0.0592786677999049,0.00583757307256674
0.0883883476483184,0.0302239832437886,0.00154215410415702
0.0441941738241592,0.0151886383250557,0.000391037286770675
0.0220970869120796,0.00760411377562416,0.0001026203993981
